posted_date,model,inch,release_year,chip,ram,storage,price,title,description,release_price
2026-03-20,macbookair,13,2026,m5,16gb,512gb,1580000,[미개봉] M5 맥북 에어 13인치 실버 16GB 램 / 512GB 저장공간,"맥북에어 13 실버색상
프로세서 M5
램 16GB
저장공간 512GB
CPU 10코어/ GPU 8코어

부산 남천역, 부경대 주변 직거래 가능합니다.
연락처: 영1공 63공8 557영",1590000
2026-03-20,macbookair,13,2022,m2,24gb,512gb,990000,"맥북에어 13인치 M2,스트라이트,8코어,GPU 10코어,512GB,24GB,35W 듀얼,한글 판매합니다","2023년 09월 18일 쿠팡에서 2,250,670 구매한 

애플 국내정품 맥북에어 13인치 M2
8코어, GPU 10코어, 512GB SSD, 24GB 램, 35W 듀얼 충전기, 한글/영문 자판 

모델명 Z15Z0001H 
구매후 상,하판 케이스 창착으로 실내에서만 서브 노트북으로 사용

사이클 수: 85
성능 최대치: 94%

구입시 받은 모든 박스 포함

직거래 또는 택배거래 가능
택배거래시 꼼꼼히 포장하여 우체꾹택배로 발송 (파손면책에 동의후)",2500000
2026-03-20,macbookair,13,2022,m2,16gb,256gb,900000,맥북 에어 M2/13인치/16GB/256GB (스페이스 그레이),"- 구입일 2023년 3월 22일
- MacBook Air M2, 2023년 모델
- 2024년 3월 22일 보증 만료
- 메모리: 16GB
- 저장공간: 256
- 전원상태: 89%
- 색상: 스페이스 그레이

개발용 노트북쓰다가 안써서 팔려고합니다. 계속 보호 필름을 붙이고 사용해서 상태가 S급 정도되는거 같습니다.
다만, 충전선 끝 부분이 좀 썼다보니 사알짝 색이 바랬는데 성능에는 아무 문제 없습니다.

구매하시면 귀여운 노트북 파우치도 같이 드리겠습니다. ^^

포장영상도 있어서 믿고 구매하셔도 됩니다. 돈입금되면 바로 우체국 택배로 보내드립니다.",1960000
2026-03-19,macbookpro,16,2024,m4max,48gb,1tb,4750000,"맥북프로16 M4맥스 ,  램36G, 1TB, 실버","M4 Pro 14코어 CPU 20코어 GPU,16.2인치 리퀴드 레티나 XDR 디스플레이 48GB 통합 메모리 1T  실사용 거의 안해서 신품급입니다 디스플레이 보호 필름 붙어 있구요   애케플 가입되어 있습니다.",5330000
2026-03-19,macbookair,15,2026,m5,16gb,512gb,1820000,미개봉 맥북 에어 15 M5 512GB/16gb 미드나이트,"맥북 에어 15인치 M5 칩 모델입니다

- 16GB 통합 메모리
- 512GB SSD 저장 장치
- 35W 듀얼 USB-C 포트 전원 어댑터

미드나이트 모델이며, 미개봉입니다

직거래는 군포시 의왕역 근처에서 하며,
택배거래는 우체국으로 보내드리고 4,000원 추가입니다",1790000
2026-03-19,macbookair,13,2025,m4,16gb,512gb,1380000,[미개봉 새 상품] 맥북 에어 13 M4 16GB 512GB 미드나이트 싸게 넘겨요~,"160~180만원 사이로 거래되는 제품인데 다른 제품 사고 싶어서 그냥 싸게 팔아요 빠르게 연락주시는 분께 넘기겠습니다~!
원하시는 금액 있으면 조율해봐요 편하게 말씀해주세요~!
경기권,충남권 직거래 선호합니다.

구매한지 일주일된 맥북 에어 13 M4 미개봉 새 제품 판매합니다. 
[스펙]
CPU : 10 core 
GPU : 10 core
색상 : 미드나이트
RAM : 16GB
용량 : 512GB",1860000
2026-03-19,macbookpro,14,2021,m1pro,16gb,512gb,1050000,맥북 프로 14 M1 Pro 16GB 512GB,"안녕하세요.

맥북 프로 14 M1 Pro 판매합니다.

회사에서만 사용해서 제품 상태 좋습니다.

배터리 사이클은 358, 87% 입니다.

노트북 뒤에 스티커 붙여둔 곳 잔상 있습니다.

직거래는 사당역 주변에서 가능합니다.

직거래 105만원",2690000
2026-03-19,macbookair,13,2022,m2,16gb,256gb,920000,맥북에어 m2 13인치 램16g 256gb 미드나이트 제한보증(26.8.27.),"맥북에어 m2 13인치 램16g 256g 미드나이트 모델 입니다

제한보증 26.8.27.까지라 애플케어 예외보증 가입할 수 있습니다 (참고로 맥북은 애플케어가 3년입니다)

풀박스이고 상태 매우 좋습니다 

배터리 최대성능치 93%입니다

사용감 있는 클리어케이스하고 키스킨 드립니다

직거래만 가능합니다
장소는 노량진역입니다

- 네고 문의 X
- 중고거래 특성상 반품환불 불가
- 미성년자 거래불가",1960000
2026-03-19,macbookair,13,2020,m1,16gb,256gb,650000,애플 맥북 에어 M1 13인치 골드 16GB,애플 맥북 에어 M1 2020년형 골드 색상입니다  - 16GB RAM - 내장 Retina 디스플레이 (2560x1600)  1.29kg의 가벼운 무게와 얇은 디자인으로 휴대성이 좋습니다 고성능 칩셋으로 작업 효율을 높여줍니다  평일 낮 판교 포스코 ict앞 / 평일 저녁 주말 아주대 앞 가능합니다  가격 :65만원  제품 특성상 파손 위험이 있어 직거래만 합니다,1560000
2026-03-18,macbookair,15,2026,m5,16gb,512gb,1820000,맥북에어 15 M5 실버 미개봉 영문자판,"M5 칩 탑재 실버 MacBook Air 15 모델입니다

미개봉 상태고 영문자판이니 참고부탁드립니다

직거래시 차비 빼드립니다",1790000
