Platform,color,model,posted_date,price,release_date,storage,title,description
중고나라,그린,iPhone 11,2026-03-22,165000,2019,128GB,"아이폰11 그린 128GB, 배터리 78%","아이폰11 그린 128GB, 배터리 효율 78%입니다. 수리 이력 없으며, FaceID 포함 모든 기능 정상입니다. 중고나라에 판매 되는 정상 제품 중 최저가입니다. ??"
중고나라,그린,iPhone 11,2026-03-22,150000,2019,64GB,아이폰 11 64기가 그린 상태A급(마지막인하),아이폰 11 64기가 그린 색상입니다. 전체적으로 깔끔한 상태이고 정상 작동합니다. 실사용감은 있지만 큰 손상 없이 잘 관리된 제품이에요. 배터리 성능 91로 아주좋습니다  택배거래 특성상 환불은 어렵습니다 직거래 환영
중고나라,레드,iPhone 11,2026-02-27,140000,2019,128GB,아이폰 11 해외판 128기가 레드 상태좋음,아이폰 11 레드 128기가 입니다. 해외판 (호주) / 카메라 무음 / 배터리 효율상태 78% 생활기스 살짝 있습니다.  문의는 댓글이나 쪽지 주세요! 또는 연락처: 01공-이7육0-팔9사육
중고나라,민트,iPhone 11,2026-03-23,165000,2018,64GB,아이폰11 s급 민트 64기가,정상해지!! 팝니당 !!   잘쓰다가 이제 필요없어져서 팝니당 집에서만 쓰던거라  사진 잘 보시면 거의 흠집 없고 옆쪽도 깨끗해요 혹시 모르니 사진 잘 보시고 구매해주시면 됩니다  업자 아니에요 xx   투명케이스랑 투명 액정필름 박스 되어있어요!  그대로 쓰시면 됩니답 세컨 폰으로 추천해요~??~??
중고나라,블랙,iPhone 11,2026-02-25,120000,2019,128GB,아이폰 11 블랙 128GB 네고 가능,"* 아이폰 11 블랙 128GB * 액정 깨짐 , 기능은 정상입니다 * 배터리 76% * 네고 가능"
중고나라,블랙,iPhone 11,2026-03-23,160000,2019,128GB,아이폰 11 블랙 128GB,아이폰 11 블랙 128GB판매합니다  굉장히 깨끗하게 썻구요 작동 안되는거 하나도 없습니다 최근에 사제로 배터리 갈아서 배터라 효율은 98%이상입니다  박스있구요 충전기 선과 필름 부착 세트까지 드립니다
중고나라,블랙,iPhone 11,2026-03-23,140000,2019,128GB,아이폰11 128G (내용필독),"< 찍힘, 흠집 --> 사진참조 !!! 하단 모서리 찍힘 !!! 후면 카메라 주변 흠집  < 부품 교체 > !!! 액정 자가교체함  !!! 배터리 사설교체함 (8시간 갑니다) - 확인방법 : 만충후, 유튜브 연속재생시..   수리 이력없고, 고장없이 사용했습니다 안되는 기능 없으며, 전체적으로 상태도 좋습니다   * 아이폰 11 - 128G 블랙 (ios 18.6.2)  구성품 : 아이폰11, 강화유리3개,   미사용 젤리케이스, 호환 충전케이블      경기도 산본, 분당 야탑역"
중고나라,블랙,iPhone 11,2026-03-21,140000,2019,64GB,아이폰 11 64GB,"아이폰 11 블랙 64 GB입니다. 어머니가 케이스 액정필름 장착하고 사용하셨던거라 흠집 전혀없고 외관 최상급입니다. 부품교체나 수리 이력도 없습니다. 배터리 성능은 73%입니다.  세컨폰으로 갖고 있을까 했는데, 폰이 여러개 있어서 저렴하게 내놓습니다. 직거래 택배거래(배송비 별도) 가능합니다."
중고나라,퍼플,iPhone 11,2026-03-22,220000,2018,128GB,아이폰 11 퍼플 128GB (S-A급),"-제품명: 아이폰 11 퍼블 128GB -배터리 성능 : 87%  -파손: 액정깨짐 X / 기스 X /다만 사진으로 보시다시피 가까이서 보면 살짝의 찍힘 자국이 있습니다. -풀박스: 박스 보유/ 이어폰 새 거 그대로 보유/어답터, 충전기 선 보유 -가격 220,000  이쁘게 사용하고, 보관 중인 휴대폰입니다. 관심있으면 연락주세요 ."
중고나라,퍼플,iPhone 11,2026-03-22,190000,2019,128GB,아이폰 11 128g 퍼플,아이폰11 128g 퍼플 배터리상태 84 이상없이 잘 동작함 상태깨끗함  구성품은 폰만있음
중고나라,화이트,iPhone 11,2026-03-23,120000,2019,128GB,아이폰 11 화이트 128GB,"아이폰 11 화이트 128GB 팝니다.  구성품은 본체 1대에 서비스로 투명 케이스 끼워서 드립니다.  페이스ID, 트루톤은 안타깝게도 사용이 불가능 하지만 그 외에 와이파이, 블루투스 등등 다른 기능은 전혀 문제 없습니다  배터리 성능은 77%로 조금 낮을 수 있으나 나쁘지는 않습니다  액정 사설수리 1회 있습니다.  구매 후 반품과 환불이 불가능하니 신중히 구매해주시고 중고제품에 대해서 예민하신 분들도 한번 더 고민하시고 구매하시길 바랍니다."
중고나라,화이트,iPhone 11,2026-03-23,100000,2019,64GB,아이폰11 64GB 화이트,아이폰 11 64G 화이트입니다.  액정 및 뒷면 유리 손상 없고 기능들 정상작동하나  테두리 부분에 찍힘 및 긁힘이 꽤 많습니다.  배터리 성능은 73퍼센트입니다.  AS 이력은 없습니다.  택포 10만  인천 1호선 갈산역에서 직거래시 9.5에 팝니다.
중고나라,화이트,iPhone 11,2026-03-06,150000,2019,64GB,아이폰11 64GB,스마트폰 화이트 색상 64기가 모델이에요. 전체적으로 깨끗한 상태이고 정상 작동합니다. 실사용감은 있지만 큰 손상 없이 관리 잘 된 제품입니다.  액정사설수리했습니다  페이스아이디 정상작동 교환 환불은 어렵습니다.
중고나라,화이트,iPhone 11,2020-09-05,150000,2019,64GB,아이폰11 화이트 64G 배터리 100%,"아이폰 11 화이트 64기가 입니다.  외관 깔끔하고 카메라 다 좋은데, 페이스id가 안됩니다. 이외에는 다 정상이고 배터리도 새로 교환하여 100%입니다.  액정 왼쪽 상단에 쫌 이상하게 표시되는 부분이 있는데 크게 거슬릴정도는 아니고 배경이 흰색일때만 좀 보이고 다크모드로 하면 안보입니다.  키즈폰이나 서브폰 으로 적당할거같습니다  케이스와 액정보호강화유리 충전기 드립니다. 서울 직거래 가능합니다."
